"","observed","mean.simulated","lowCI","uppCI","sign"
"Achromobacter insolitus",1.29184890656064,13.5937419272,8.99753424657534,18.5657142857143,"SPECIALIST"
"Achromobacter insuavis",7.93996247654784,15.4244444991754,11.0186975129199,20.152380952381,"SPECIALIST"
"Achromobacter kerstersii",1,9.40782845833468,5.55555555555556,13.3333333333333,"SPECIALIST"
"Achromobacter mucicolens",6.25,6.62263421219304,4.15865384615385,10,"NON SIGNIFICANT"
"Achromobacter pulmonis",1.16360734237829,13.3828309505832,8.94478527607362,17.780487804878,"SPECIALIST"
"Achromobacter sp.",9.06939393939394,23.7338595812422,18.2758568048241,29.1847879083374,"SPECIALIST"
"Achromobacter sp. 2789STDY5608621",2,3.4788,1.6,4,"NON SIGNIFICANT"
"Achromobacter sp. BP3",1.92307692307692,4.11142530671942,2.27272727272727,5,"SPECIALIST"
"Achromobacter sp. DMS1",5.4258064516129,10.8879057200302,6.72535118110236,14.7543859649123,"SPECIALIST"
"Achromobacter sp. GbtcB20",31.2136222910217,17.2765576923926,12.159094732802,22.5044642857143,"GENERALIST"
"Achromobacter sp. GD03932",1.38631116744376,17.9337972603819,12.8727855770753,23.0462544937714,"SPECIALIST"
"Achromobacter sp. LC458",1,13.8818835027625,9.10222222222222,18.2857142857143,"SPECIALIST"
"Achromobacter sp. Marseille-Q0513",1.8,4.74045604395604,2.57142857142857,6,"SPECIALIST"
"Achromobacter sp. MFA1 R4",1,7.06621501668306,4.17241379310345,9.30769230769231,"SPECIALIST"
"Achromobacter sp. Root170",1,1,1,1,"NON SIGNIFICANT"
"Achromobacter sp. RTa",11.8932793522267,19.8086651055432,14.0755022359559,25.2656820353998,"SPECIALIST"
"Achromobacter sp. UMC46",17.9207459207459,16.8169926523855,11.7549030044121,21.970461918485,"NON SIGNIFICANT"
"Achromobacter xylosoxidans",17.6624207259479,24.3186278281301,18.7536640704733,29.7564406012348,"SPECIALIST"
"Acidibacter sp.",2.27272727272727,8.21489602526921,5,11.8421052631579,"SPECIALIST"
"Acidibrevibacterium fodinaquatile",2.02531321912554,15.3761591919249,10.2470892626132,20.3650986761258,"SPECIALIST"
"Acidicapsa acidisoli",10.4599854172429,23.319064494811,17.4296610696925,28.8371565930945,"SPECIALIST"
"Acidicapsa dinghuensis",4.82646048109966,15.9806699005442,10.7609146141215,21.1222932330827,"SPECIALIST"
"Acidicapsa ligni",8.4825961229517,21.1628396365105,15.6987194359674,26.3158102343761,"SPECIALIST"
"Acididesulfobacillus acetoxydans",1.02563681183237,14.8184574490171,10.2135694699941,19.567349168834,"SPECIALIST"
"Acidiferrimicrobium australe",17.935364104295,23.4568558610725,18.0694632896866,28.8681697227509,"SPECIALIST"
"Acidiferrimicrobium sp. IK",7.38715025906736,23.4105311661505,17.8554627263587,29.3051536721543,"SPECIALIST"
"Acidiferrobacter sp.",19.9924779712014,20.0000025582413,14.0498863785708,25.2305397342012,"NON SIGNIFICANT"
"Acidiferrobacteraceae bacterium",11.8145454545455,13.7030067172385,9.15211267605634,18.1508379888268,"NON SIGNIFICANT"
"Acidiferrobacterales bacterium",31.0145813273678,31.1820547084054,25.4825368137002,36.5032619609131,"NON SIGNIFICANT"
"Acidihalobacter ferrooxydans",7.36363636363636,8.90872322436234,5.58620689655172,12.4615384615385,"NON SIGNIFICANT"
"Acidihalobacter prosperus",3.30240549828179,11.255117696699,7.33587786259542,15.2539682539683,"SPECIALIST"
"Acidihalobacter yilgarnensis",8.13266583229036,18.8597452044351,14.0862843378569,23.9364691992783,"SPECIALIST"
"Acidimicrobiaceae bacterium",36.2252285263098,40.2849692691745,36.4180774974144,42.6358854083039,"SPECIALIST"
"Acidimicrobiales bacterium",20.922813872009,42.2054852516505,39.9532298780575,42.6966915289354,"SPECIALIST"
"Acidimicrobiales bacterium mtb01",36.3549841299048,24.8292987178667,19.1318398981912,30.1502021076775,"GENERALIST"
"Acidimicrobiia bacterium",21.7882031308389,42.3536674200946,40.2724469465512,42.690388456898,"SPECIALIST"
"Acidimicrobiia bacterium BACL6 MAG-120910-bin40",19.0173913043478,15.0878981102807,10.4632830269053,20.1908173374613,"NON SIGNIFICANT"
"Acidimicrobiia bacterium EGI L10123",23.4147193762332,27.9189452989903,22.0452684963582,33.2895028619819,"NON SIGNIFICANT"
"Acidimicrobium ferrooxidans",24.8202247191011,12.8303010083251,8.52732362904777,17.1240310077519,"GENERALIST"
"Acidimicrobium sp.",13.9210526315789,12.7425844255098,8.3968253968254,17.344262295082,"NON SIGNIFICANT"
"Acidimicrobium sp. BACL19 MAG-120924-bin39",14.4960362400906,17.5080881813067,12.4619762535571,22.5769536919979,"NON SIGNIFICANT"
"Acidiphilium acidophilum",16.0230198394669,21.7926421253629,16.0827235804576,27.4025824453396,"SPECIALIST"
"Acidiphilium cryptum",6.23076923076923,10.771418636128,7.07429958391124,14.8775510204082,"SPECIALIST"
"Acidiphilium iwatense",1.65593376264949,13.6779686709141,9.18250802859215,18.1818181818182,"SPECIALIST"
"Acidiphilium multivorum",12.8929555293192,18.0831294920187,13.172370255477,23.4526498429359,"SPECIALIST"
"Acidiphilium rubrum",3,2.7592,1.8,3,"NON SIGNIFICANT"
"Acidiphilium sp.",18.6406418468954,24.9937490322563,19.3335703233709,30.3408231520147,"SPECIALIST"
"Acidiphilium sp. 21-66-27",4.12591911764706,16.8994776035058,11.8131578947368,22.0062536132389,"SPECIALIST"
"Acidiphilium sp. 21-68-69",22.7449392712551,15.9675171521717,10.7403421689725,20.80934118133,"GENERALIST"
"Acidiphilium sp. 37-67-22",5,6.64426688507571,3.84615384615385,10,"NON SIGNIFICANT"
"Acidiphilium sp. AL",1,1,1,1,"NON SIGNIFICANT"
"Acidiphilium sp. PA",15.3893950586883,21.6694172324639,16.2032832056304,27.2159037858158,"SPECIALIST"
"Acidipila rosea",5.31901428041543,25.2846391779156,19.8992231997659,30.957901211206,"SPECIALIST"
"Acidipila sp.",11.9730772354422,25.7256097493052,20.0618020570587,31.4651194552244,"SPECIALIST"
"Acidipropionibacterium acidipropionici",5.26086956521739,7.09520732472682,4.48148148148148,9.30769230769231,"NON SIGNIFICANT"
"Acidipropionibacterium jensenii",6.73976830070319,20.9127409695144,15.3358698247503,26.3566617887356,"SPECIALIST"
"Acidipropionibacterium sp.",22.2406779661017,14.8305113734604,10.0474732006126,19.7056789417817,"GENERALIST"
"Acidipropionibacterium virtanenii",3.70893054024256,16.2869422467606,11.1946755407654,21.2239747634069,"SPECIALIST"
"Acidisarcina polymorpha",12.9786040106722,26.3378015896267,20.8079917906905,32.1290291417689,"SPECIALIST"
"Acidisarcina sp.",7.54522208863225,25.0616519926135,19.2893469570708,30.5108338389586,"SPECIALIST"
"Acidisoma cellulosilyticum",13.3552275522755,18.967191072987,13.5756439109777,23.9480363620075,"SPECIALIST"
"Acidisoma silvae",26.5448028673835,20.5159966231562,15.2414904186811,25.4889645000509,"GENERALIST"
"Acidisoma sp.",28.8114400654866,30.8564113268893,24.7757826592966,35.7999424521794,"NON SIGNIFICANT"
"Acidisoma sp. L85",19.9843266277362,26.5396095085945,20.913472993603,31.8794052085997,"SPECIALIST"
"Acidisoma sp. PAMC 29798",7.33555502658097,21.6836615213197,16.4265029294982,26.9068741952636,"SPECIALIST"
"Acidisoma sp. S159",17.1767891682785,24.8961096353621,19.4184947152087,30.3926121270317,"SPECIALIST"
"Acidisphaera rubrifaciens",1.04951946179721,21.3386057309039,15.5524512416751,26.3152453778289,"SPECIALIST"
"Acidisphaera sp.",26.1347497821523,33.6429560735366,27.6958171962454,38.4895979310673,"SPECIALIST"
"Acidisphaera sp. L21",25.3989787468948,24.8576291784868,19.4145803771725,30.1390347710764,"NON SIGNIFICANT"
"Acidisphaera sp. S103",11.780358965124,29.3249227911437,23.7163397021761,34.6302629850547,"SPECIALIST"
"Aciditerrimonas ferrireducens",12.448275862069,9.12568600812593,5.55384615384615,12.448275862069,"NON SIGNIFICANT"
"Acidithiobacillales bacterium SM23_46",10.6124031007752,11.921450370971,7.64804469273743,16.4939759036145,"NON SIGNIFICANT"
"Acidithiobacillus caldus",1,10.5981009447565,6.68807339449541,14.2941176470588,"SPECIALIST"
"Acidithiobacillus ferriphilus",1.77053824362606,13.0720009053354,8.44452884092146,17.8571428571429,"SPECIALIST"
"Acidithiobacillus ferrooxidans",14.1428571428571,11.448414430063,7.11535104364326,15.3380281690141,"NON SIGNIFICANT"
"Acidithiobacillus sp.",8.47990255785627,16.2776655483077,11.2109500805153,21.227232509137,"SPECIALIST"
"Acidithiobacillus sp. GGI-221",2.55102040816327,10.3261484240353,6.31313131313131,14.5348837209302,"SPECIALIST"
"Acidithiobacillus sulfurivorans",4.79973878972573,15.9643912518419,10.8391184179794,20.7627118644068,"SPECIALIST"
"Acidithiobacillus thiooxidans",4.12524941565475,19.5001178744549,14.3934704450757,24.8419958110984,"SPECIALIST"
"Acidobacteria bacterium 13_1_20CM_2_55_15",13.2922286834827,30.8915627634882,25.2170160452273,36.4130260302531,"SPECIALIST"
"Acidobacteria bacterium 13_1_20CM_2_57_8",15.7784793184985,33.6440274783538,27.628082756163,38.8274165784429,"SPECIALIST"
"Acidobacteria bacterium 13_1_20CM_2_60_10",15.8595393801535,20.5653499156082,14.7117223496098,25.7400294371929,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_1_20CM_2_65_9",38.7694943248727,38.7949205866314,34.0653894192318,42.1604149360869,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_1_20CM_2_68_14",9.43185840707965,14.5359256952626,9.95982021963487,18.9644128113879,"SPECIALIST"
"Acidobacteria bacterium 13_1_20CM_3_53_8",4.58739649446673,33.4948545208137,28.2688105921581,38.5703272045243,"SPECIALIST"
"Acidobacteria bacterium 13_1_20CM_4_56_7",4.36858588579849,39.2826239922879,34.4994499190516,42.4139135696127,"SPECIALIST"
"Acidobacteria bacterium 13_1_20CM_58_21",13.1383055756698,22.1601783171884,16.5208347005514,27.6224445411048,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_2_56_11",21.5288474716722,33.2575108931841,27.4629923909683,37.8096169484244,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_2_56_5",13.2754176440683,29.7446168820391,24.2189887937891,35.2436990541968,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_2_60_7",13.6720513325641,23.649436681344,18.1433827900973,29.1700984369376,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_2_64_6",38.6791755514887,37.5904787627363,32.1318284426448,41.7614252322581,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_1_40CM_2_68_5",2.2591133924405,22.0773461439447,16.5302339307685,27.1378287349752,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_3_55_6",14.2197739140414,23.7081361181724,18.0337780673488,29.0418157362498,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_3_56_11",15.4357817207444,33.121027746208,27.3793447672589,38.1205530566795,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_3_65_5",37.4656882250596,38.0752847108403,32.8377587056454,41.8287783474855,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_1_40CM_4_57_6",3.16129032258065,8.02188685225418,4.9,12.25,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_4_58_4",19.2944347333217,33.0689229232984,27.2179798243537,38.0943012454247,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_4_61_5",10.7457733249843,16.8381792179237,11.4471578394456,22.0862290862291,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_4_65_8",38.6753504589961,39.5427877537127,34.9448398646043,42.4543999934618,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_1_40CM_4_69_4",6.13965506104257,21.7360262346424,16.2335771525435,27.2119685800172,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_56_16",15.6470164956795,35.123659229689,29.4283363528751,40.0258698914793,"SPECIALIST"
"Acidobacteria bacterium 13_1_40CM_65_14",38.1525691207486,40.689671122517,36.9669094918829,42.6941715748302,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_2_20CM_2_57_12",1,8.6911386804227,5.4478730703259,12.5652173913043,"SPECIALIST"
"Acidobacteria bacterium 13_2_20CM_2_57_6",16.7669894002661,25.6522149771062,19.6914999362301,31.2099182839807,"SPECIALIST"
"Acidobacteria bacterium 13_2_20CM_2_66_4",35.901635061241,37.6231379014027,32.6274950107446,41.7245329465072,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_2_20CM_56_17",28.1912554201941,27.2901428472243,21.5784312893023,32.8871971364201,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_2_20CM_57_17",25.6170044376608,28.6190251461652,21.8304050368432,34.4201092358613,"NON SIGNIFICANT"
"Acidobacteria bacterium 13_2_20CM_57_7",9.29341029341029,16.9463926424264,11.9905887981665,22.0333103454581,"SPECIALIST"
"Acidobacteria bacterium 13_2_20CM_58_27",20.3243802350309,28.9488756612435,23.0268723150815,34.7430453521963,"SPECIALIST"
"Acidobacteria bacterium 21-70-11",1.74396135265701,9.16789410921148,5.55384615384615,12.4713282247765,"SPECIALIST"
"Acidobacteria bacterium 37-65-4",18.9057371490574,22.4351007621447,16.7571717308966,28.1259079903148,"NON SIGNIFICANT"
"Acidobacteria bacterium AB60",4.3366018984212,24.6519971362903,19.0551885279974,29.8638056369311,"SPECIALIST"
"Acidobacteria bacterium ACB2",20.1677897574124,20.5563229179811,15.3049392666534,25.860520461101,"NON SIGNIFICANT"
"Acidobacteria bacterium ACD",18.3330396475771,18.4100801163977,13.3297033731127,23.3541913517194,"NON SIGNIFICANT"
"Acidobacteria bacterium ADurb.Bin051",3.2,8.44748699666738,5.11507692307692,11.6363636363636,"SPECIALIST"
"Acidobacteria bacterium AH-259-A15",31.4439781570249,31.3934121128778,25.5233295352079,36.6027471659721,"NON SIGNIFICANT"
"Acidobacteria bacterium AH-259-D05",19.4134861352706,26.3583469077704,20.4580640156701,31.854584825909,"SPECIALIST"
"Acidobacteria bacterium AH-259-G07",29.0935408819243,31.2127472204989,25.6337231258856,36.3834023648316,"NON SIGNIFICANT"
"Acidobacteria bacterium AH-259-L09",26.3734402484442,31.0512268513436,25.6795810189042,36.7123505186993,"NON SIGNIFICANT"
"Acidobacteria bacterium AH-259-O06",30.6794741367635,33.8221005006359,28.1707744159222,38.7957984909092,"NON SIGNIFICANT"
"Acidobacteria bacterium Mor1",10.3827160493827,10.8725783449672,6.728,14.7677990430622,"NON SIGNIFICANT"
"Acidobacteria bacterium OLB17",10.9142040038132,15.9588795657979,11.1910474215006,20.932450396659,"SPECIALIST"
"Acidobacteria bacterium RBG_13_68_16",7.69720101781171,17.8354652325968,12.9209086625156,22.6724097619126,"SPECIALIST"
"Acidobacteria bacterium RBG_16_64_8",7.44191512037821,23.9022232196576,18.4984083949241,29.2865833848235,"SPECIALIST"
"Acidobacteria bacterium RBG_16_68_9",11.6041299420801,25.3004944354082,19.4545723885108,30.6227224670333,"SPECIALIST"
"Acidobacteria bacterium RBG_16_70_10",29.530522201043,34.3882578252849,28.7976740623795,39.4393530759455,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPHIGHO2_01_FULL_67_28",5.11624099541585,19.1556908738915,13.8693209938371,24.2445415544717,"SPECIALIST"
"Acidobacteria bacterium RIFCSPHIGHO2_02_FULL_67_57",20.7967405026971,23.0531821101637,17.7664344365819,28.5591361477547,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_59_13",15.894166712656,28.7660520239793,23.0251625987282,34.4499544378274,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_60_20",27.0900404373222,28.5850074420708,22.7865717467261,34.1045649409836,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28",30.9590054855527,30.0521020231809,23.9544588096253,35.2030419061521,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15",34.6710248416049,39.8856412309164,35.7624304649686,42.5495529635729,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29",37.4991802486533,40.7751721325582,36.7411346906,42.6734493364508,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21",20.8059204470567,41.2145895850868,37.6152009144257,42.7015404435366,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36",30.0256211057579,40.8323043512172,36.8362188214391,42.6844946761328,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18",22.2450328104834,40.6054666205184,36.673101893436,42.6794387499148,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_54_10",19.6702612591493,24.7306737201044,18.9984313321003,30.309674795062,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11",9.70497507220957,25.3737796934312,19.5860517603016,30.7296510097401,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_60_22",22.7994037362217,24.9233779187571,18.6745677496564,30.638315960043,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11",34.0810466422003,34.4298273883098,29.0427288710046,39.2254017704586,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_10",39.0155518491683,37.5286104179101,32.0242473036934,41.5300283107097,"NON SIGNIFICANT"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21",32.8845351799167,39.0142516936194,34.2663824018158,42.2539549618665,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14",20.7942616313446,39.6422998915142,35.3575122841583,42.5320399382755,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b",24.3167166188335,39.7398629046298,35.1555951425524,42.4826012115696,"SPECIALIST"
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19",20.9930616748366,37.3987906234644,32.3062139225225,41.3874463549707,"SPECIALIST"
"Acidobacteria bacterium SCGC AG-212-P17",3.96902893795626,35.0820330727618,29.4698341021439,39.8220620428467,"SPECIALIST"
"Acidobacteria bacterium SCN 69-37",35.1523392731272,38.1163327500112,33.5059132213911,41.8927247491443,"NON SIGNIFICANT"
"Acidobacteriaceae bacterium",6.40253524375385,41.6624317617301,38.5118878440642,42.7066996147608,"SPECIALIST"
"Acidobacteriales bacterium 13_1_40CM_3_55_5",19.4707615699512,27.2176842399906,21.1697326096742,32.6926501571,"SPECIALIST"
"Acidobacteriales bacterium 13_2_20CM_2_55_5",20.2179370898856,29.257332911166,23.2882002411274,35.0021582101434,"SPECIALIST"
"Acidobacteriales bacterium 13_2_20CM_55_8",26.7478249781194,30.7511387946878,24.6836372796337,36.1569427675229,"NON SIGNIFICANT"
"Acidobacteriales bacterium 59-55",1.68764320153582,25.0780891875328,19.3148889039694,30.6244457479148,"SPECIALIST"
"Acidobacteriia bacterium 12-62-4",16.0782241014799,18.4529553765775,13.0077861322763,23.6643202346698,"NON SIGNIFICANT"
"Acidobacteriia bacterium AH_259_A11_L15",18.3958459155004,24.6008163369548,19.1190296981478,29.9991740335684,"SPECIALIST"
"Acidobacteriia bacterium SbA2",26.0943894072777,29.0153976902057,23.2630012525341,34.7098015734683,"NON SIGNIFICANT"
"Acidobacteriota bacterium",38.3489502775667,42.4457295344276,40.6942497331238,42.6948401847721,"SPECIALIST"
"Acidobacterium sp.",25.7273035786616,29.2127661552857,23.6211746723409,34.2922347139823,"NON SIGNIFICANT"
"Acidobacterium sp. S8",9.23325252009698,19.5964233626263,14.2632448312478,24.8262359811138,"SPECIALIST"
"Acidocella aminolytica",22.2767028889478,21.4774953708119,16.1541418412454,27.0083547557841,"NON SIGNIFICANT"
"Acidocella aromatica",13.222884386174,19.3786070852082,13.942878747529,24.7657046003147,"SPECIALIST"
"Acidocella facilis",7.05333333333333,12.673678233409,8.2015503875969,17.0645161290323,"SPECIALIST"
"Acidocella sp.",33.0294337134905,37.952766343294,32.8758644737013,41.7339802419072,"NON SIGNIFICANT"
"Acidocella sp. 20-61-6",3.85714285714286,6.2150002457269,3.52173913043478,9,"NON SIGNIFICANT"
"Acidocella sp. 21-58-7",2.27272727272727,4.1601224918872,2.27272727272727,5,"NON SIGNIFICANT"
"Acidocella sp. C78",7,10.6966538656863,6.75862068965517,15.0769230769231,"NON SIGNIFICANT"
"Acidocella sp. MX-AZ02",21.5934530095037,19.8308638730755,14.5279528047567,24.638464546175,"NON SIGNIFICANT"
"Acidothermaceae bacterium",25.6993668248151,40.4748986860168,36.7340422538526,42.6417484101383,"SPECIALIST"
"Acidothermaceae bacterium B102",10.7182661784644,26.0529958803059,19.8865301347088,31.4402066320903,"SPECIALIST"
"Acidothermales bacterium",18.8241047316351,32.9235325444126,27.2619044216743,38.0447359646872,"SPECIALIST"
"Acidothermus cellulolyticus",4.2959904269502,34.6815535881578,29.1440358749716,39.3637189665292,"SPECIALIST"
"Acidothermus sp.",17.0104622428567,26.3201140018093,20.6018122144956,31.8073504186269,"SPECIALIST"
"Acidovorax carolinensis",5.77847126529951,19.5561388605536,14.4853697923033,24.4236625235636,"SPECIALIST"
"Acidovorax cavernicola",4.94474066892874,15.8801227350353,10.7935715122016,20.6916835699797,"SPECIALIST"
"Acidovorax defluvii",1.64579256360078,10.9411341936466,6.94758785191158,15.2909090909091,"SPECIALIST"
"Acidovorax soli",13.7868852459016,11.0157442356834,7.31304347826087,15.2909090909091,"NON SIGNIFICANT"
"Acidovorax sp.",21.5399206602526,28.4964575572189,23.2095667530369,33.9441630309814,"SPECIALIST"
"Acidovorax sp. 99",1.62024638457418,13.490468484203,8.86839644693782,17.8994082840237,"SPECIALIST"
