,State,Irrigation,Irrigation.adj01,Irrigation.adj,Tillage,Tillage.adj,long,lat
s41,IN,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-87.080278,38.553889
s42,IN,non-irrigated,non-irrigated,non-irrigated,conventiounknownl,conventiounknownl,-85.765962,40.304487
s43,IN,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-86.523813,39.564686
s44,IN,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-85.397709,40.132424
s46,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-85.374316,42.407599
s48,MI,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-83.342256,43.771329
s49,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-84.836747,43.080996
s51,MI,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-84.407097,43.114853
s53,MI,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-84.420248,43.11819
s55,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-84.534562,42.525584
s60,MI,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-84.895719,41.869428
s62,MI,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-82.873455,43.113903
s63,MI,unknown,non-irrigated,non-irrigated,yes,yes,-84.464319,43.07449
s65,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-84.635836,43.509751
s66,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-84.159119,41.74168
s67,MI,non-irrigated,non-irrigated,non-irrigated,reduced_conservation,reduced_conservation,-83.869977,42.051632
s70,MI,non-irrigated,non-irrigated,non-irrigated,conventiounknownl,conventiounknownl,-83.758073,43.500614
s71,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-84.50336,43.201758
s74,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-84.922073,43.675314
s76,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-86.21301,41.956264
s77,MI,unknown,non-irrigated,non-irrigated,unknown,unknown,-84.258162,42.465829
s78,MI,non-irrigated,non-irrigated,non-irrigated,no_till,no_till,-84.868481,42.436333
s88,IN,NE_IN,non-irrigated,non-irrigated,,,-85.513244,41.63428
