,r.value.fit.vectors.r,fit.vectors.pvals
Achromobacter sp. Root170,0.02750896,0.568
Achromobacter sp. RTa,0.625254967,0.001
Achromobacter sp. UMC46,0.141729599,0.035
Achromobacter xylosoxidans,0.247506644,0.006
Acidibacter sp.,0.065271372,0.219
Acidibrevibacterium fodinaquatile,0.229604218,0.002
Acidicapsa acidisoli,0.344497466,0.001
Acidicapsa dinghuensis,0.424870621,0.001
Acidicapsa ligni,0.240976366,0.004
Acididesulfobacillus acetoxydans,0.202444395,0.001
Acidiferrimicrobium australe,0.413938162,0.001
Acidiferrimicrobium sp. IK,0.148450084,0.036
Acidiferrobacter sp.,0.552770116,0.001
Acidiferrobacteraceae bacterium,0.143116738,0.043
Acidiferrobacterales bacterium,0.292531023,0.003
Acidihalobacter ferrooxydans,0.040732723,0.401
Acidihalobacter prosperus,0.121724964,0.071
Acidihalobacter yilgarnensis,0.084491635,0.148
Acidimicrobiaceae bacterium,0.384717482,0.001
Acidimicrobiales bacterium,0.528712155,0.001
Acidimicrobiales bacterium mtb01,0.447513546,0.001
Acidimicrobiia bacterium,0.7058257,0.001
Acidimicrobiia bacterium BACL6 MAG-120910-bin40,0.319421048,0.001
Acidimicrobiia bacterium EGI L10123,0.170949651,0.024
Acidimicrobium ferrooxidans,0.040568224,0.396
Acidimicrobium sp.,0.438416291,0.001
Acidimicrobium sp. BACL17 MAG-120924-bin0,0,1
Acidimicrobium sp. BACL19 MAG-120924-bin39,0.488437796,0.001
Acidiphilium acidophilum,0.174704248,0.021
Acidiphilium cryptum,0.235453249,0.006
Acidiphilium iwatense,0.168544442,0.03
Acidiphilium multivorum,0.089017042,0.142
Acidiphilium rubrum,0.05636363,0.295
Acidiphilium sp.,0.328704281,0.001
Acidiphilium sp. 21-66-27,0.372780822,0.001
Acidiphilium sp. 21-68-69,0.110097709,0.09
Acidiphilium sp. 37-60-79,0,1
Acidiphilium sp. 37-67-22,0.089402754,0.129
Acidiphilium sp. AL,0.022201504,0.673
Acidiphilium sp. PA,0.624171285,0.001
Acidipila rosea,0.482228348,0.001
Acidipila sp.,0.136153935,0.051
Acidipila sp. EB88,0,1
Acidipropionibacterium acidipropionici,0.07848979,0.173
Acidipropionibacterium jensenii,0.180982525,0.016
Acidipropionibacterium sp.,0.033992018,0.484
Acidipropionibacterium virtanenii,0.173041256,0.022
Acidisarcina polymorpha,0.224239153,0.009
Acidisarcina sp.,0.191924004,0.014
Acidisoma cellulosilyticum,0.548581484,0.001
Acidisoma silvae,0.013534162,0.748
Acidisoma sp.,0.396377953,0.001
Acidisoma sp. L85,0.360456421,0.001
Acidisoma sp. PAMC 29798,0.427163895,0.001
Acidisoma sp. S159,0.213651874,0.008
Acidisphaera rubrifaciens,0.200760658,0.004
Acidisphaera sp.,0.436955331,0.001
Acidisphaera sp. L21,0.165332981,0.023
Acidisphaera sp. S103,0.501547157,0.001
Aciditerrimonas ferrireducens,0.071374011,0.194
Acidithiobacillales bacterium SM23_46,0.331554055,0.003
Acidithiobacillus caldus,0.19890722,0.023
Acidithiobacillus ferriphilus,0.223627097,0.006
Acidithiobacillus ferrooxidans,0.025380396,0.566
Acidithiobacillus sp.,0.172485847,0.022
Acidithiobacillus sp. GGI-221,0.250408495,0.006
Acidithiobacillus sp. HP-11,0,1
Acidithiobacillus sulfurivorans,0.041779674,0.411
Acidithiobacillus thiooxidans,0.053670335,0.269
Acidobacteria bacterium 13_1_20CM_2_55_15,0.05514819,0.324
Acidobacteria bacterium 13_1_20CM_2_57_8,0.060641491,0.303
Acidobacteria bacterium 13_1_20CM_2_60_10,0.005121458,0.909
Acidobacteria bacterium 13_1_20CM_2_65_9,0.02025558,0.64
Acidobacteria bacterium 13_1_20CM_2_68_14,0.171195131,0.018
Acidobacteria bacterium 13_1_20CM_3_53_8,0.048201009,0.332
Acidobacteria bacterium 13_1_20CM_4_56_7,0.376445193,0.001
Acidobacteria bacterium 13_1_20CM_58_21,0.12494813,0.051
Acidobacteria bacterium 13_1_40CM_2_56_11,0.035024971,0.518
Acidobacteria bacterium 13_1_40CM_2_56_5,0.072837021,0.235
Acidobacteria bacterium 13_1_40CM_2_60_7,0.186816485,0.01
Acidobacteria bacterium 13_1_40CM_2_64_6,0.013516675,0.782
Acidobacteria bacterium 13_1_40CM_2_68_5,0.019559518,0.702
Acidobacteria bacterium 13_1_40CM_3_55_6,0.179630097,0.011
Acidobacteria bacterium 13_1_40CM_3_56_11,0.072402811,0.215
Acidobacteria bacterium 13_1_40CM_3_65_5,0.017542674,0.674
Acidobacteria bacterium 13_1_40CM_4_57_6,0.069943384,0.182
Acidobacteria bacterium 13_1_40CM_4_58_4,0.192775381,0.012
Acidobacteria bacterium 13_1_40CM_4_61_5,0.077935891,0.169
Acidobacteria bacterium 13_1_40CM_4_65_8,0.014424134,0.749
Acidobacteria bacterium 13_1_40CM_4_69_4,0.280043716,0.001
Acidobacteria bacterium 13_1_40CM_56_16,0.070833298,0.242
Acidobacteria bacterium 13_1_40CM_65_14,0.013114395,0.75
Acidobacteria bacterium 13_2_20CM_2_57_12,0.19890722,0.023
Acidobacteria bacterium 13_2_20CM_2_57_6,0.343323908,0.001
Acidobacteria bacterium 13_2_20CM_2_66_4,0.015398033,0.731
Acidobacteria bacterium 13_2_20CM_56_17,0.253570103,0.004
Acidobacteria bacterium 13_2_20CM_57_17,0.003681248,0.925
Acidobacteria bacterium 13_2_20CM_57_7,0.143386331,0.041
Acidobacteria bacterium 13_2_20CM_58_27,0.224069835,0.006
Acidobacteria bacterium 21-70-11,0.015808922,0.729
Acidobacteria bacterium 37-65-4,0.1293927,0.059
Acidobacteria bacterium AB60,0.391432708,0.001
Acidobacteria bacterium ACB2,0.09167076,0.133
Acidobacteria bacterium ACD,0.224173985,0.005
Acidobacteria bacterium ADurb.Bin051,0.016193131,0.739
Acidobacteria bacterium AH-259-A15,0.318269533,0.001
Acidobacteria bacterium AH-259-D05,0.230210636,0.003
Acidobacteria bacterium AH-259-G07,0.270781798,0.001
Acidobacteria bacterium AH-259-L09,0.202601683,0.015
Acidobacteria bacterium AH-259-O06,0.454423519,0.001
Acidobacteria bacterium Mor1,0.038104726,0.435
Acidobacteria bacterium OLB17,0.05451952,0.305
Acidobacteria bacterium RBG_13_68_16,0.071760928,0.183
Acidobacteria bacterium RBG_16_64_8,0.18484537,0.013
Acidobacteria bacterium RBG_16_68_9,0.070986555,0.21
Acidobacteria bacterium RBG_16_70_10,0.24463744,0.003
Acidobacteria bacterium RIFCSPHIGHO2_01_FULL_67_28,0.196555919,0.009
Acidobacteria bacterium RIFCSPHIGHO2_02_FULL_67_57,0.485150571,0.001
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_59_13,0.611307544,0.001
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_60_20,0.009557775,0.833
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28,0.189517689,0.013
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15,0.238547144,0.007
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29,0.14119793,0.025
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21,0.742521176,0.001
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36,0.522129857,0.001
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18,0.777192593,0.001
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_54_10,0.226534257,0.005
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11,0.254264904,0.003
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_60_22,0.32424442,0.001
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11,0.238395676,0.004
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_10,0.004870766,0.903
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21,0.462904825,0.001
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14,0.733349287,0.001
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b,0.583660515,0.001
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19,0.744023071,0.001
Acidobacteria bacterium SCGC AG-212-P17,0.372309292,0.001
Acidobacteria bacterium SCN 69-37,0.526840251,0.001
Acidobacteriaceae bacterium,0.476380801,0.001
Acidobacteriales bacterium 13_1_40CM_3_55_5,0.528768733,0.001
Acidobacteriales bacterium 13_2_20CM_2_55_5,0.588293611,0.001
Acidobacteriales bacterium 13_2_20CM_55_8,0.284473922,0.003
Acidobacteriales bacterium 59-55,0.224537218,0.005
Acidobacteriia bacterium 12-62-4,0.500577137,0.001
Acidobacteriia bacterium AH_259_A11_L15,0.054883585,0.299
Acidobacteriia bacterium SbA2,0.072061213,0.21
Acidobacteriota bacterium,0.486460906,0.001
Acidobacterium capsulatum,0,1
Acidobacterium sp.,0.573412687,0.001
Acidobacterium sp. S8,0.397776718,0.001
Acidocella aminolytica,0.042397381,0.422
Acidocella aromatica,0.120039679,0.065
Acidocella facilis,0.22360437,0.007
Acidocella sp.,0.582453281,0.001
Acidocella sp. 20-61-6,0.23494744,0.004
Acidocella sp. 21-58-7,0.088019405,0.144
Acidocella sp. C78,0.02855313,0.556
Acidocella sp. MX-AZ02,0.433817552,0.001
Acidomonas methanolica,0,1
Acidothermaceae bacterium,0.405795026,0.001
Acidothermaceae bacterium B102,0.326346224,0.001
Acidothermales bacterium,0.048750231,0.327
Acidothermus cellulolyticus,0.24358875,0.001
Acidothermus sp.,0.306868389,0.001
Acidovorax carolinensis,0.140979637,0.041
Acidovorax cavernicola,0.041012926,0.373
Acidovorax defluvii,0.068354157,0.196
Acidovorax radicis,0,1
Acidovorax soli,0.072528916,0.199
Acidovorax sp.,0.129022061,0.065
Acidovorax sp. 99,0.070153261,0.181
Acidovorax sp. CF316,0.01046646,0.809
Acidovorax sp. HDW3,0.208008824,0.005
Acidovorax sp. JG5,0.19890722,0.023
Acidovorax sp. Leaf78,0.040443932,0.415
Acidovorax sp. MR-S7,0.034399823,0.458
Acidovorax sp. NB1,0.089728835,0.132
Acidovorax sp. NO-1,0.023614377,0.652
Acidovorax sp. PRC11,0.030687946,0.517
Acidovorax sp. SRB_24,0.120634748,0.072
Acidovorax sp. SUPP1855,0.215123473,0.012
Acidovorax temperans,0.361723198,0.001
Acinetobacter baumannii,0.118289891,0.064
Acinetobacter beijerinckii,0.037971491,0.369
Acinetobacter bohemicus,0.01719758,0.74
Acinetobacter calcoaceticus,0.026946636,0.547
Acinetobacter haemolyticus,0.192883002,0.01
Acinetobacter johnsonii,0.185752228,0.019
Acinetobacter nosocomialis,0.122145553,0.059
Acinetobacter sichuanensis,0.314752068,0.001
Acinetobacter sp.,0.083250965,0.131
Acrocarpospora catenulata,0.082873563,0.17
Acrocarpospora corrugata,0.355124006,0.001
Acrocarpospora macrocephala,0.046149399,0.346
Acrocarpospora phusangensis,0.166750597,0.024
Acrocarpospora pleiomorpha,0.210593911,0.005
Actibacterium sp.,0.010220464,0.786
Actibacterium sp. 188UL27-1,0.074157342,0.188
Actimicrobium sp. GrIS 1.19,0.232455252,0.009
Actinacidiphila acididurans,0.13458465,0.037
Actinacidiphila alni,0.152181275,0.043
Actinacidiphila bryophytorum,0.321198342,0.001
Actinacidiphila cocklensis,0.362868213,0.001
Actinacidiphila epipremni,0.642104316,0.001
Actinacidiphila glaucinigra,0.00512098,0.891
Actinacidiphila guanduensis,0.039716111,0.409
Actinacidiphila oryziradicis,0.19514495,0.015
Actinacidiphila paucisporea,0.061285803,0.266
Actinacidiphila rubida,0.216529372,0.011
Actinacidiphila soli,0.140083924,0.051
Actinacidiphila sp. DG2A-62,0.03335979,0.488
Actinacidiphila yanglinensis,0.078079989,0.162
Actinacidiphila yeochonensis,0.003131812,0.923
Actinoallomurus bryophytorum,0.670154845,0.001
Actinoallomurus iriomotensis,0.312488901,0.004
Actinoallomurus purpureus,0.634549585,0.001
Actinoallomurus rhizosphaericola,0.711091822,0.001
Actinoallomurus soli,0.685717098,0.001
Actinoallomurus sp.,0.567627825,0.001
Actinoallomurus sp. NBC_01490,0.245513443,0.009
Actinoallomurus spadix,0.586279882,0.001
Actinoalloteichus caeruleus,0.312611237,0.001
Actinoalloteichus fjordicus,0.094277184,0.113
Actinoalloteichus hymeniacidonis,0.162578797,0.029
Actinoalloteichus sp. AHMU CJ021,0.134834728,0.05
Actinoalloteichus spitiensis,0.132878682,0.055
Actinobacteria bacterium 13_1_20CM_2_65_11,0.08576232,0.13
Actinobacteria bacterium 13_1_20CM_2_66_18,0.074364924,0.194
Actinobacteria bacterium 13_1_20CM_3_68_10,0.155491204,0.037
Actinobacteria bacterium 13_1_20CM_3_68_9,0.520378779,0.001
Actinobacteria bacterium 13_1_20CM_3_71_11,0.654774783,0.001
Actinobacteria bacterium 13_1_20CM_4_66_15,0.195785802,0.012
Actinobacteria bacterium 13_1_20CM_4_68_12,0.156035392,0.034
Actinobacteria bacterium 13_1_20CM_4_69_9,0.332640927,0.001
Actinobacteria bacterium 13_1_40CM_2_65_8,0.17555514,0.013
Actinobacteria bacterium 13_1_40CM_2_66_13,0.203575376,0.005
Actinobacteria bacterium 13_1_40CM_3_66_19,0.204780464,0.001
Actinobacteria bacterium 13_1_40CM_4_65_12,0.268772416,0.002
Actinobacteria bacterium 13_1_40CM_66_12,0.212274988,0.008
Actinobacteria bacterium 13_2_20CM_2_66_6,0.237419897,0.001
Actinobacteria bacterium 13_2_20CM_2_71_6,0.614156667,0.001
Actinobacteria bacterium 13_2_20CM_2_72_6,0.618787258,0.001
Actinobacteria bacterium 13_2_20CM_68_14,0.150552257,0.04
Actinobacteria bacterium 21-64-8,0.453902375,0.001
Actinobacteria bacterium 66_15,0.005678799,0.884
Actinobacteria bacterium 69-20,0.248225583,0.001
Actinobacteria bacterium ATB1,0.111793821,0.075
Actinobacteria bacterium HGW-Actinobacteria-1,0.017272156,0.709
Actinobacteria bacterium HGW-Actinobacteria-2,0.064846235,0.234
Actinobacteria bacterium HGW-Actinobacteria-4,0.109521263,0.081
Actinobacteria bacterium HGW-Actinobacteria-7,0.438270762,0.001
Actinobacteria bacterium IMCC26207,0.071952758,0.17
Actinobacteria bacterium OK006,0.156356489,0.043
Actinobacteria bacterium OK074,0.33137703,0.001
Actinobacteria bacterium OV320,0.12268149,0.068
Actinobacteria bacterium OV450,0.055840435,0.272
Actinobacteria bacterium QS_8_72_14,0.182205766,0.011
Actinobacteria bacterium RBG_13_63_9,0.045848005,0.359
Actinobacteria bacterium RBG_16_64_13,0.252312418,0.008
Actinobacteria bacterium RBG_16_67_10,0.577082693,0.001
Actinobacteria bacterium RBG_16_68_12,0.634605045,0.001
Actinobacteria bacterium RBG_16_68_21,0.100945547,0.102
Actinobacteria bacterium RBG_16_70_17,0.13317262,0.048
Actinobacteria bacterium RBG_19FT_COMBO_36_27,0.12684101,0.061
Actinobacteria bacterium RBG_19FT_COMBO_54_7,0.049006864,0.331
Actinobacteria bacterium RBG_19FT_COMBO_70_19,0.011366277,0.794
Actinobacteria bacterium SCGC AG-212-D09,0.389951557,0.001
Actinobaculum massiliense,0.087366823,0.137
Actinocatenispora comari,0.354313046,0.001
Actinocatenispora rupis,0.078212163,0.183
Actinocatenispora sera,0.093089934,0.115
Actinocatenispora thailandica,0.169043109,0.024
Actinocorallia herbida,0.379115266,0.001
Actinocorallia populi,0.217947227,0.005
Actinocorallia sp. API 0066,0.213049139,0.006
Actinocorallia sp. A-T 12471,0.18520004,0.02
Actinocrinis puniceicyclus,0.501754524,0.001
Actinocrinis sp.,0.375755065,0.001
Actinocrispum wychmicini,0.086748462,0.136
Actinokineospora alba,0.072451113,0.174
Actinokineospora auranticolor,0.03734673,0.455
Actinokineospora baliensis,0.145838514,0.05
Actinokineospora bangkokensis,0.170268436,0.022
Actinokineospora cianjurensis,0.141649925,0.042
Actinokineospora diospyrosa,0.02771109,0.539
Actinokineospora enzanensis,0.065535711,0.228
Actinokineospora fastidiosa,0.103232309,0.1
Actinokineospora globicatena,0.052109487,0.339
Actinokineospora inagensis,0.181576213,0.015
Actinokineospora iranica,0.053049195,0.31
Actinokineospora pegani,0.073040831,0.174
Actinokineospora sp.,0.212854994,0.004
Actinokineospora sp. NBRC 105648,0.008802645,0.84
Actinokineospora sp. PR83,0.10259571,0.099
Actinokineospora sp. UTMC 2448,0.279710663,0.001
Actinokineospora spheciospongiae,0.195719897,0.013
Actinokineospora terrae,0.194260355,0.015
Actinokineospora xionganensis,0.119894694,0.065
Actinomadura alba,0.318053425,0.001
Actinomadura algeriensis,0.112217546,0.07
Actinomadura atramentaria,0.136114375,0.046
Actinomadura bangladeshensis,0.00729206,0.853
Actinomadura barringtoniae,0.011336517,0.823
Actinomadura catellatispora,0.200748139,0.011
Actinomadura chibensis,0.429795834,0.001
Actinomadura citrea,0.184193511,0.02
Actinomadura coerulea,0.050766969,0.332
Actinomadura craniellae,0.194213522,0.009
Actinomadura cremea,0.03115577,0.479
Actinomadura darangshiensis,0.136674946,0.054
Actinomadura decatromicini,0.080875736,0.174
Actinomadura fibrosa,0.051860542,0.299
Actinomadura flavalba,0.154705508,0.03
Actinomadura formosensis,0.149804073,0.045
Actinomadura geliboluensis,0.364701407,0.001
Actinomadura graeca,0.24077429,0.001
Actinomadura hallensis,0.061296854,0.232
Actinomadura harenae,0.280984467,0.001
Actinomadura hibisca,0.121429289,0.053
Actinomadura kijaniata,0.087014343,0.137
Actinomadura latina,0.008854009,0.826
Actinomadura lepetitiana,0.487220607,0.001
Actinomadura litoris,0.159734569,0.042
Actinomadura logoneensis,0.078479642,0.164
Actinomadura luteofluorescens,0.292516191,0.001
Actinomadura luzonensis,0.082583652,0.162
Actinomadura macra,0.102541726,0.083
Actinomadura macrotermitis,0.019026466,0.653
Actinomadura madurae,0.18790384,0.012
Actinomadura mexicana,0.359671219,0.002
Actinomadura meyerae,0.26775558,0.003
Actinomadura montaniterrae,0.129552841,0.06
Actinomadura namibiensis,0.209413461,0.013
Actinomadura nitritigenes,0.064805628,0.239
Actinomadura oligospora,0.354812565,0.001
Actinomadura parmotrematis,0.150995353,0.039
Actinomadura pelletieri,0.123321356,0.059
Actinomadura physcomitrii,0.195042824,0.011
Actinomadura rayongensis,0.091588419,0.127
Actinomadura roseirufa,0.408831377,0.001
Actinomadura rubrisoli,0.225072267,0.009
Actinomadura rubrobrunea,0.499511605,0.001
Actinomadura rubteroloni,0.020956847,0.626
Actinomadura rudentiformis,0.257372691,0.002
Actinomadura rugatobispora,0.126863583,0.049
Actinomadura rupiterrae,0.202086725,0.006
Actinomadura soli,0.128501701,0.05
Actinomadura sp.,0.20789188,0.006
Actinomadura sp. 6K520,0.047518743,0.36
Actinomadura sp. 7K507,0.024200736,0.593
Actinomadura sp. 7K534,0.029849464,0.53
Actinomadura sp. BRA 177,0.130364696,0.056
Actinomadura sp. CNU-125,0.130126262,0.048
Actinomadura sp. DC4,0.588137125,0.001
Actinomadura sp. GC306,0.312735414,0.001
Actinomadura sp. HBU206391,0.357758699,0.001
Actinomadura sp. J1-007,0.063708574,0.244
Actinomadura sp. K4S16,0.063383557,0.239
Actinomadura sp. KC06,0.373863761,0.001
Actinomadura sp. KC216,0.263220499,0.001
Actinomadura sp. KC345,0.05070067,0.299
Actinomadura sp. NBRC 104412,0.102922686,0.104
Actinomadura sp. NBRC 104425,0.051782127,0.316
Actinomadura sp. NEAU-AAG7,0.036133683,0.463
Actinomadura sp. OS1-43,0.225652721,0.007
Actinomadura sp. RB99,0.241516681,0.006
Actinomadura sp. WAC 06369,0.05782898,0.277
Actinomadura sp. WMMA1423,0.207716505,0.009
Actinomadura sp. WMMB 499,0.312270459,0.001
Actinomadura spongiicola,0.167498793,0.021
Actinomadura syzygii,0.155061703,0.042
Actinomadura terrae,0.137246083,0.034
Actinomadura verrucosospora,0.272618095,0.005
Actinomadura violacea,0.583305704,0.001
Actinomadura viridis,0.187085121,0.02
Actinomadura xylanilytica,0.091502168,0.108
Actinomarinicola tropica,0.447313089,0.001
Actinomyces bouchesdurhonensis,0.315760328,0.001
Actinomyces dentalis,0.063717278,0.222
Actinomyces graevenitzii,0.478760924,0.001
Actinomyces howellii,0.101576092,0.1
Actinomyces oricola,0.099798468,0.122
Actinomyces oris,0.051649026,0.333
Actinomyces ruminis,0,1
Actinomyces slackii,0.169801991,0.023
Actinomyces sp.,0.731488061,0.001
Actinomyces sp. HMSC065F12,0.01946641,0.681
Actinomyces succiniciruminis,0.244170951,0.002
Actinomyces trachealis,0.19890722,0.023
Actinomyces urogenitalis,0.071846727,0.184
Actinomycetaceae bacterium,0.026900617,0.56
Actinomycetales bacterium,0.029703847,0.53
Actinomycetales bacterium JB111,0.053562505,0.292
Actinomycetes bacterium,0.321882854,0.001
Actinomycetospora callitridis,0.089402835,0.145
Actinomycetospora chiangmaiensis,0.052417575,0.304
Actinomycetospora chibensis,0.093872545,0.131
Actinomycetospora cinnamomea,0.114175121,0.088
Actinomycetospora corticicola,0,1
Actinomycetospora endophytica,0.162522533,0.023
Actinomycetospora lemnae,0.064139403,0.254
Actinomycetospora lutea,0.509712222,0.001
Actinomycetospora soli,0.483091377,0.001
Actinomycetospora sp.,0.343714998,0.001
Actinomycetospora sp. NBC_00405,0.097099627,0.124
Actinomycetospora sp. NBRC 106375,0.049479288,0.366
Actinomycetospora sp. NBRC 106378,0.065704228,0.26
Actinomycetospora sp. TBRC 11914,0.103078418,0.1
Actinomycetospora straminea,0.124606502,0.061
Actinomycetospora succinea,0.106302779,0.102
Actinomycetospora termitidis,0.139729709,0.038
Actinomycetota bacterium,0.520668395,0.001
Actinophytocola algeriensis,0.038590222,0.438
Actinophytocola gossypii,0.027552559,0.55
Actinophytocola oryzae,0.170734239,0.018
Actinophytocola sp.,0.081649424,0.148
Actinophytocola xanthii,0.070051803,0.224
Actinophytocola xinjiangensis,0.104094096,0.097
Actinoplanes abujensis,0.251495085,0.001
Actinoplanes aksuensis,0.510504446,0.001
Actinoplanes atraurantiacus,0.011894369,0.808
Actinoplanes auranticolor,0.184123072,0.015
Actinoplanes aureus,0.024530904,0.579
Actinoplanes awajinensis,0.352577809,0.001
Actinoplanes bogorensis,0.254924439,0.003
Actinoplanes brasiliensis,0.076009606,0.18
Actinoplanes campanulatus,0.133644616,0.046
Actinoplanes capillaceus,0.077023611,0.174
Actinoplanes consettensis,0.114684932,0.084
Actinoplanes couchii,0.137297513,0.049
Actinoplanes cyaneus,0.228497707,0.007
Actinoplanes deccanensis,0.178921802,0.015
Actinoplanes derwentensis,0.160311378,0.022
Actinoplanes digitatis,0.14484478,0.038
Actinoplanes durhamensis,0.147589151,0.034
Actinoplanes ferrugineus,0.35731448,0.001
Actinoplanes flavus,0.064856552,0.225
Actinoplanes friuliensis,0.507018302,0.001
Actinoplanes globisporus,0.247202991,0.005
Actinoplanes hotanensis,0.342214086,0.001
Actinoplanes hulinensis,0.547588334,0.001
Actinoplanes humidus,0.146722309,0.047
Actinoplanes ianthinogenes,0.291128317,0.001
Actinoplanes italicus,0.36104136,0.001
Actinoplanes lichenicola,0.060036476,0.27
Actinoplanes lichenis,0.41649509,0.001
Actinoplanes lobatus,0.619716062,0.001
Actinoplanes lutulentus,0.048141604,0.358
Actinoplanes maris,0.100466873,0.121
Actinoplanes missouriensis,0.105680598,0.092
Actinoplanes nipponensis,0.53561317,0.001
Actinoplanes oblitus,0.208018325,0.008
Actinoplanes octamycinicus,0.286917778,0.002
Actinoplanes ovalisporus,0.420277972,0.001
Actinoplanes palleronii,0.29162599,0.002
Actinoplanes philippinensis,0.065091864,0.252
Actinoplanes polyasparticus,0.210576268,0.006
Actinoplanes pyxinae,0.306729302,0.001
Actinoplanes rectilineatus,0.129299268,0.054
Actinoplanes regularis,0.299854054,0.001
Actinoplanes rishiriensis,0.576917225,0.001
Actinoplanes sandaracinus,0.02925253,0.544
Actinoplanes siamensis,0.070453976,0.198
Actinoplanes sichuanensis,0.008368102,0.845
Actinoplanes solisilvae,0.141140399,0.034
Actinoplanes sp.,0.333236372,0.001
Actinoplanes sp. ATCC 53533,0.043963871,0.389
Actinoplanes sp. DH11,0.058121669,0.258
Actinoplanes sp. KI2,0.465848059,0.001
Actinoplanes sp. L3-i22,0.050140217,0.331
Actinoplanes sp. M2I2,0.424439586,0.001
Actinoplanes sp. N902-109,0.469330569,0.001
Actinoplanes sp. NBRC 101535,0.209299716,0.007
Actinoplanes sp. NBRC 103695,0.204021324,0.011
